,Unnamed: 0,Evaluation,Method,Model,MAE,RMSE,Y_hat,Y_true,n_samples
5,0,1339_x_S.au,combinatoric,LGBMRegressor,0.2504695878377988,0.2982231846408062,[0.96989489 0.96641851 0.96850697 ... 0.4967414  0.51788511 0.51788511],"[[0.91374737]
 [0.94219027]
 [0.65657944]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",1224
6,0,11285_x_E.ce,combinatoric,LGBMRegressor,0.0758747134788026,0.1145310602492918,[0.88770621 0.88770621 0.88770621 ... 0.90157152 0.90157152 0.90157152],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.94066202]
 [0.94066202]
 [0.96621555]]",1944
7,0,11285_x_E.co,combinatoric,LGBMRegressor,0.1767538035504687,0.2510481287869051,[0.88624865 0.87995926 0.88624865 ... 0.88065598 0.880671   0.87913332],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.81702822]
 [0.86183369]
 [0.81702822]]",1944
8,0,11285_x_S.en,combinatoric,LGBMRegressor,0.1580413493365784,0.1903716929909951,[0.4186621  0.4186621  0.4186621  ... 0.75227755 0.75227755 0.75227755],"[[0.29211455]
 [0.30351804]
 [0.30351804]
 ...
 [0.70396517]
 [0.70396517]
 [0.81070028]]",1944
9,0,11285_x_S.au,combinatoric,LGBMRegressor,0.1625485904515626,0.2056962043193891,[0.96595977 0.97542572 0.96757305 ... 0.67797781 0.67523151 0.67523151],"[[0.84723405]
 [0.84723405]
 [0.84723405]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",1836
10,0,11457_x_E.ce,combinatoric,LGBMRegressor,0.0820156677537015,0.1167378850905843,[0.95556463 0.95556463 0.95556463 ... 0.88168331 0.88168331 0.88168331],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.92483339]
 [0.85893472]
 [0.90024691]]",2052
11,0,11457_x_E.co,combinatoric,LGBMRegressor,0.185347048632584,0.2517422733842466,[0.93866    0.93866    0.93866    ... 0.82101916 0.82101916 0.82101916],"[[0.37587003]
 [0.48232297]
 [0.37587003]
 ...
 [0.8603028 ]
 [0.8603028 ]
 [0.95518657]]",2052
0,0,11457_x_S.en,combinatoric,LGBMRegressor,0.1620073689371398,0.1865161062938865,[0.42263083 0.42263083 0.42263083 ... 0.77113284 0.77113284 0.77113284],"[[0.20988306]
 [0.20988306]
 [0.20988306]
 ...
 [0.88924878]
 [0.87072956]
 [0.88924878]]",2052
1,0,11457_x_S.au,combinatoric,LGBMRegressor,0.1321461165113621,0.1807650651812435,[0.96946357 0.96347735 0.95992376 ... 0.74722635 0.75139966 0.75139966],"[[0.98772021]
 [0.94660322]
 [0.98772021]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",1938
2,0,12001_x_E.ce,combinatoric,LGBMRegressor,0.10761608691911,0.1447143245079239,[0.91720861 0.91720861 0.91720861 ... 0.68326378 0.68326378 0.68326378],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.9234756 ]
 [0.9234756 ]
 [0.89939665]]",2052
3,0,12001_x_E.co,combinatoric,LGBMRegressor,0.1865133474913514,0.2337501922605643,[0.80061416 0.80061416 0.80061416 ... 0.90334644 0.90334644 0.88237775],"[[0.48296558]
 [0.40737366]
 [0.40737366]
 ...
 [0.91659296]
 [0.93965865]
 [0.93965865]]",2052
4,0,12001_x_S.en,combinatoric,LGBMRegressor,0.1960244758798258,0.2367980312085532,[0.40901264 0.40901264 0.40901264 ... 0.54986558 0.54986558 0.54986558],"[[0.11595643]
 [0.42955449]
 [0.11595643]
 ...
 [0.91417669]
 [0.91417669]
 [0.77917198]]",2052
5,0,12001_x_S.au,combinatoric,LGBMRegressor,0.1305078668249142,0.1692351860134467,[0.95905053 0.94990379 0.96433406 ... 0.82910927 0.81524259 0.81524259],"[[0.92651453]
 [0.92651453]
 [0.78825672]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]",1938
6,0,12048_x_E.ce,combinatoric,LGBMRegressor,0.0983963893576289,0.1373755376936431,[0.86037658 0.86037658 0.86037658 ... 0.8252385  0.8252385  0.8252385 ],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.75189398]
 [0.90756892]
 [0.90756892]]",1944
7,0,12048_x_E.co,combinatoric,LGBMRegressor,0.1647985931126241,0.2481290367959924,[0.82270582 0.82270582 0.82270582 ... 0.82250244 0.82206076 0.82206076],"[[0.38193534]
 [0.38193534]
 [0.38193534]
 ...
 [0.83077776]
 [0.83077776]
 [0.88097163]]",1944
8,0,12048_x_S.en,combinatoric,LGBMRegressor,0.1754610748697685,0.2050564518854935,[0.41644501 0.41644501 0.41644501 ... 0.78397559 0.78397559 0.78397559],"[[0.05203706]
 [0.35335252]
 [0.30769525]
 ...
 [0.89975877]
 [0.89975877]
 [0.86838695]]",1944
9,0,12048_x_S.au,combinatoric,LGBMRegressor,0.1560144567270678,0.2022871253139707,[0.97073158 0.95256674 0.98169046 ... 0.70615324 0.71943311 0.71943311],"[[0.97039675]
 [0.97761851]
 [0.87807663]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]",1836
10,0,12701_x_E.ce,combinatoric,LGBMRegressor,0.1234904777063386,0.1510501836794682,[0.9286558  0.9286558  0.9286558  ... 0.91330883 0.91330883 0.91299208],"[[0.7171057 ]
 [0.7171057 ]
 [0.7171057 ]
 ...
 [0.88223754]
 [0.77827844]
 [0.88223754]]",1944
11,0,12701_x_E.co,combinatoric,LGBMRegressor,0.3350802608263188,0.4152324951435089,[0.78837442 0.75293297 0.78837442 ... 0.88008984 0.88008984 0.87909375],"[[0.45942264]
 [0.41486875]
 [0.45942264]
 ...
 [0.13633384]
 [0.2366919 ]
 [0.2366919 ]]",1944
0,0,12701_x_S.en,combinatoric,LGBMRegressor,0.2091278576014942,0.2554119757177351,[0.40311438 0.40311438 0.40311438 ... 0.85585215 0.85585215 0.85585215],"[[0.49806811]
 [0.6086484 ]
 [0.6086484 ]
 ...
 [0.70306232]
 [0.70306232]
 [0.70306232]]",1944
1,0,12701_x_S.au,combinatoric,LGBMRegressor,0.1597562507630102,0.2110222481454695,[0.95878108 0.96256602 0.95694553 ... 0.78907112 0.79935321 0.79935321],"[[0.83122257]
 [0.9301025 ]
 [0.95467772]
 ...
 [0.51653222]
 [0.52714431]
 [0.51653222]]",1836
2,0,12832_x_E.ce,combinatoric,LGBMRegressor,0.137936163142073,0.1782857755982793,[0.8710154  0.8710154  0.8710154  ... 0.96433323 0.96433323 0.96433323],"[[0.58272752]
 [0.67187312]
 [0.7222509 ]
 ...
 [0.90344707]
 [0.72909638]
 [0.90344707]]",1944
3,0,12832_x_E.co,combinatoric,LGBMRegressor,0.1634650327323086,0.2337118184641066,[0.85873525 0.85873525 0.85873525 ... 0.76532251 0.76532251 0.75628365],"[[0.48896226]
 [0.36435971]
 [0.36435971]
 ...
 [0.88532199]
 [0.88532199]
 [0.88532199]]",1944
4,0,12832_x_S.en,combinatoric,LGBMRegressor,0.2926001261902507,0.3904584766000007,[0.44679343 0.44679343 0.44679343 ... 0.70011566 0.70011566 0.70011566],"[[0.28210822]
 [0.4720613 ]
 [0.4720613 ]
 ...
 [0.92665552]
 [0.74858424]
 [0.74858424]]",1944
5,0,12832_x_S.au,combinatoric,LGBMRegressor,0.1055006488228547,0.1420807628968673,[0.95447414 0.95349481 0.95415049 ... 0.80228237 0.77593271 0.77593271],"[[0.93240842]
 [0.93240842]
 [0.96880127]
 ...
 [0.66850347]
 [0.88247085]
 [0.66850347]]",1836
6,0,B1_x_E.ce,combinatoric,LGBMRegressor,0.1323127329665945,0.1819039010918517,[0.72590474 0.72590474 0.72590474 ... 0.86304519 0.86304519 0.86304519],"[[0.42509385]
 [0.42509385]
 [0.66837588]
 ...
 [0.87453569]
 [0.91341457]
 [0.91341457]]",1728
7,0,B1_x_E.co,combinatoric,LGBMRegressor,0.1913959479532102,0.2588855028634574,[0.69494251 0.69494251 0.69494251 ... 0.93290279 0.93290279 0.93290279],"[[0.40097912]
 [0.39834738]
 [0.39617026]
 ...
 [0.76610499]
 [0.76610499]
 [0.76946686]]",1728
8,0,B1_x_S.en,combinatoric,LGBMRegressor,0.1888340782221405,0.2493494506855528,[0.35977814 0.35977814 0.35977814 ... 0.81521095 0.81521095 0.81521095],"[[0.36505974]
 [0.36505974]
 [0.31869931]
 ...
 [0.92409418]
 [0.92409418]
 [0.92409418]]",1728
9,0,B1_x_S.au,combinatoric,LGBMRegressor,0.1516951902429075,0.1845137605994433,[0.85924476 0.86330981 0.86397049 ... 0.68626488 0.66657364 0.66657364],"[[0.96636701]
 [0.73315454]
 [0.94713401]
 ...
 [0.64199834]
 [0.64199834]
 [0.64199834]]",1632
10,0,B8_x_E.ce,combinatoric,LGBMRegressor,0.150167995084466,0.196518462071675,[0.73974381 0.73974381 0.73974381 ... 0.8318025  0.8318025  0.8318025 ],"[[0.98038748]
 [0.95596408]
 [0.98038748]
 ...
 [0.87437664]
 [0.89666384]
 [0.89666384]]",1728
11,0,B8_x_E.co,combinatoric,LGBMRegressor,0.1490054602941246,0.2035097426508262,[0.73033099 0.73033099 0.73033099 ... 0.86308012 0.86308012 0.86308012],"[[0.40134686]
 [0.39904629]
 [0.40134686]
 ...
 [0.88777914]
 [0.88777914]
 [0.89888459]]",1728
0,0,B8_x_S.en,combinatoric,LGBMRegressor,0.2061379601300504,0.2709877081985682,[0.41857848 0.41857848 0.41857848 ... 0.8708657  0.8708657  0.8708657 ],"[[0.40655816]
 [0.37063027]
 [0.40655816]
 ...
 [0.89745489]
 [0.81122728]
 [0.81122728]]",1728
1,0,B8_x_S.au,combinatoric,LGBMRegressor,0.2520757798990024,0.3084160828567597,[0.8280126  0.82145027 0.82667381 ... 0.54283848 0.54800152 0.54800152],"[[0.96152962]
 [0.84691344]
 [0.97948001]
 ...
 [0.99977629]
 [0.99974418]
 [0.99977629]]",1632
2,0,B18_x_E.ce,combinatoric,LGBMRegressor,0.0798492882492548,0.1107736862328149,[0.59566866 0.59566866 0.59566866 ... 0.7808803  0.7808803  0.7808803 ],"[[0.65450303]
 [0.65450303]
 [0.65450303]
 ...
 [0.91126658]
 [0.66194838]
 [0.80723995]]",1728
3,0,B18_x_E.co,combinatoric,LGBMRegressor,0.3031714640389355,0.3699082160957018,[0.55886235 0.55886235 0.55886235 ... 0.73793105 0.73793105 0.73793105],"[[0.37835684]
 [0.42659821]
 [0.34547948]
 ...
 [0.31875414]
 [0.25509998]
 [0.31875414]]",1728
4,0,B18_x_S.en,combinatoric,LGBMRegressor,0.1952503346344242,0.2415308623285664,[0.44033587 0.44033587 0.44033587 ... 0.59335423 0.59335423 0.59335423],"[[0.41617595]
 [0.4818378 ]
 [0.25336463]
 ...
 [0.50682367]
 [0.22560538]
 [0.22560538]]",1728
5,0,B18_x_S.au,combinatoric,LGBMRegressor,0.1762177469413875,0.2184214003461358,[0.81985158 0.82672014 0.81960312 ... 0.58877434 0.59974036 0.59974036],"[[0.94505321]
 [0.94505321]
 [0.94505321]
 ...
 [0.47260031]
 [0.58194566]
 [0.58194566]]",1632
6,0,C5_x_E.ce,combinatoric,LGBMRegressor,0.1193243500091733,0.1506362210125942,[0.61695327 0.61695327 0.61695327 ... 0.89333638 0.89333638 0.89700875],"[[0.61741846]
 [0.51342435]
 [0.64749359]
 ...
 [0.55905769]
 [0.55905769]
 [0.55905769]]",1728
7,0,C5_x_E.co,combinatoric,LGBMRegressor,0.2485296548003429,0.3072420556755856,[0.59944727 0.59944727 0.59944727 ... 0.76128986 0.76128986 0.76128986],"[[0.62896479]
 [0.37594786]
 [0.41602359]
 ...
 [0.27393508]
 [0.40317314]
 [0.40317314]]",1728
8,0,C5_x_S.en,combinatoric,LGBMRegressor,0.218285570374443,0.256210589476983,[0.37188586 0.37188586 0.37188586 ... 0.73013524 0.73013524 0.73013524],"[[0.32949037]
 [0.32949037]
 [0.49960014]
 ...
 [0.23039224]
 [0.53639065]
 [0.45761743]]",1728
9,0,C5_x_S.au,combinatoric,LGBMRegressor,0.0775809615765108,0.1068349963006319,[0.89946558 0.9051457  0.90029233 ... 0.72722306 0.70203723 0.70203723],"[[0.92403973]
 [0.98145982]
 [0.98145982]
 ...
 [0.64398475]
 [0.4335643 ]
 [0.64398475]]",1632
